,low,medium,high
2017,35603.0,52328.0,92035.0
2018,34430.0,51817.0,90233.0
2019,35598.0,47582.0,86539.0
2020,41020.0,43511.0,82443.0
2021,34491.0,42139.0,67215.0
2022,33348.0,40509.0,65438.0
2023,32319.0,39052.0,63845.0
2024,31389.0,37749.0,62415.0
2025,30548.0,36582.0,61129.0
2026,29784.0,35536.0,59972.0
2027,29089.0,34597.0,58929.0
2028,28455.0,33753.0,57989.0
2029,27876.0,32995.0,57140.0
2030,27252.0,32218.0,56280.0
2031,26645.0,31472.0,55432.0
2032,25557.748104240723,29982.285714285714,52817.5
2033,24772.928458804083,28492.571428571428,50203.0
2034,23988.108813367442,27002.85714285714,47588.5
2035,23203.2891679308,25513.142857142855,44974.0
