,x
1/15/1995,1.262
2/15/1995,1.245
3/15/1995,1.229
4/15/1995,1.239
5/15/1995,1.274
6/15/1995,1.263
7/15/1995,1.226
8/15/1995,1.176
9/15/1995,1.156
10/15/1995,1.172
11/15/1995,1.169
12/15/1995,1.157
1/15/1996,1.162
2/15/1996,1.176
3/15/1996,1.242
4/15/1996,1.408
5/15/1996,1.536
6/15/1996,1.5
7/15/1996,1.443
8/15/1996,1.366
9/15/1996,1.302
10/15/1996,1.248
11/15/1996,1.178
12/15/1996,1.191
1/15/1997,1.251
2/15/1997,1.288
3/15/1997,1.327
4/15/1997,1.389
5/15/1997,1.366
6/15/1997,1.324
7/15/1997,1.272
8/15/1997,1.342
9/15/1997,1.437
10/15/1997,1.423
11/15/1997,1.38
12/15/1997,1.33
1/15/1998,1.271
2/15/1998,1.18
3/15/1998,1.086
4/15/1998,1.124
5/15/1998,1.237
6/15/1998,1.222
7/15/1998,1.199
8/15/1998,1.173
9/15/1998,1.158
10/15/1998,1.152
11/15/1998,1.153
12/15/1998,1.145
1/15/1999,1.132
2/15/1999,1.114
3/15/1999,1.241
4/15/1999,1.606
5/15/1999,1.477
6/15/1999,1.351
7/15/1999,1.423
8/15/1999,1.526
9/15/1999,1.442
10/15/1999,1.389
11/15/1999,1.362
12/15/1999,1.384
1/15/2000,1.368
2/15/2000,1.448
3/15/2000,1.752
4/15/2000,1.75
5/15/2000,1.651
6/15/2000,1.622
7/15/2000,1.71
8/15/2000,1.676
9/15/2000,1.826
10/15/2000,1.812
11/15/2000,1.766
12/15/2000,1.679
1/15/2001,1.601
2/15/2001,1.637
3/15/2001,1.693
4/15/2001,1.793
5/15/2001,1.948
6/15/2001,1.927
7/15/2001,1.77
8/15/2001,1.559
9/15/2001,1.663
10/15/2001,1.546
11/15/2001,1.357
12/15/2001,1.158
1/15/2002,1.185
2/15/2002,1.274
3/15/2002,1.461
4/15/2002,1.61
5/15/2002,1.568
6/15/2002,1.586
7/15/2002,1.601
8/15/2002,1.588
9/15/2002,1.579
10/15/2002,1.531
11/15/2002,1.578
12/15/2002,1.536
1/15/2003,1.613
2/15/2003,1.805
3/15/2003,2.103
4/15/2003,2.045
5/15/2003,1.842
