,high,low,mid
2010,128500.0,45000.0,59000.0
2011,110000.0,42000.0,58000.0
2012,109000.0,40000.0,57400.0
2013,100000.0,38000.0,56000.0
2014,95000.0,37000.0,55000.0
2015,83217.5,35792.0,47143.0
2016,81227.33333,35470.0,42092.0
2017,81522.25,35603.0,42092.0
2018,80955.33333,34430.0,40561.0
2019,79521.33333,35598.0,43220.66667
2020,97206.25,37695.0,42110.33333
2021,79549.42857,34775.0,44215.0
2022,73399.1,34147.75,40509.0
2023,72477.0,34290.33333,40509.0
2024,71286.0,33207.83333,40509.0
2025,70195.3,32241.16667,49518.0
2026,68035.9,31357.0,49518.0
2027,68862.88889,30534.16667,49518.0
2028,67823.33333,29785.0,48469.0
2029,66869.11111,29106.83333,47554.0
2030,65905.11111,28414.33333,46772.0
2031,64955.22222,27736.83333,46003.0
2032,66075.48289791729,26914.777774285714,46411.11012452482
2033,67157.30049501923,26092.722218571427,46772.74982698079
2034,68201.99423145852,25270.66666285714,47093.21057160142
2035,69210.83805677545,24448.611107142853,47377.1812975626
