Fuel Type Code,Station Name,Street Address,Intersection Directions,city,State,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Open_Date
ELEC,LADWP - Truesdale Center,11797 Truesdale St,,Sun Valley,CA,Private,Fleet use only,,40,2,10/15/1999
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,Public,24 hours daily; pay lot,,12,,8/30/1995
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,Private,For fleet and employee use only,,275,,10/15/1999
ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,,Long Beach,CA,Private,Fleet use only,,9,,5/1/2018
ELEC,LADWP - Harbor Generating Station,161 N Island Ave,At B St,Wilmington,CA,Private,Fleet use only,,10,,10/15/1999
ELEC,LADWP - EV Service Center,1630 N Main St,,Los Angeles,CA,Private,Fleet and employee use only,,46,1,10/15/1999
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,,Los Angeles,CA,Private,Fleet use only,,13,,4/1/2019
ELEC,California Air Resources Board,9530 Telstar Ave,,El Monte,CA,Public,24 hours daily,,3,,10/15/1996
ELEC,LADWP - Palmetto Center,1212 Palmetto St,,Los Angeles,CA,Private,Fleet use only,,10,,10/15/1999
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,Public,24 hours daily,,1,,7/30/1997
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,,Escondido,CA,Public,24 hours daily,,2,,9/2/2014
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,Public - Call ahead,Dealership business hours,,2,,12/11/2012
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,Public,6am-12am daily,,4,,8/30/1997
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,Public,24 hours daily; pay lot,,16,,8/30/1997
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,Public,24 hours daily; pay lot,,2,,8/30/1997
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,Public,24 hours daily; pay lot,,3,,8/30/1997
ELEC,Pasadena Hilton,150 S Los Robles,Located at valet and self parking,Pasadena,CA,Public,24 hours daily; for guest use only; valet fee,,4,,8/31/1997
ELEC,Bristol Farms,606 Fair Oaks Ave,,South Pasadena,CA,Public,24 hours daily,,,,8/31/1997
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,Public,24 hours daily; pay lot; see valet for access,,1,,5/4/2012
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,Public,24 hours daily; pay lot,,20,,6/30/1998
ELEC,Northridge Fashion Center - Yard House,9301 Tampa Ave,Located at Tampa & Nordhoff,Northridge,CA,Public,6am-12am daily,,2,,5/30/1998
ELEC,Ontario Airport Hilton,700 N Haven Ave,,Ontario,CA,Public,24 hours daily; guest use only,,1,,6/15/1998
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,,Oxnard,CA,Public,24 hours daily; guest use only,,1,,5/30/1998
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,,Palm Springs,CA,Public,24 hours daily; pay lot; priority given to registered guests,,2,,12/12/2011
ELEC,East Bay Mini,4340 Rosewood Dr,,Pleasanton,CA,Public,Dealership business hours,,2,,12/14/2012
ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,Public,"24 hours M-Th, 12am-4:30pm F",,3,,5/30/1998
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,Public,24 hours daily; pay lot,,4,,6/30/1998
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,Public,24 hours daily,,2,,6/30/1998
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,Public,24 hours daily; pay lot,,3,,4/8/2019
ELEC,Westfield Fashion Square,14006 Riverside Dr,"level 1 of the Parking Garage near the main entrance, located across from 85Â°C Bakery Cafe",Sherman Oaks,CA,Public,6am-12am daily,,4,,5/30/1998
ELEC,City of Temecula - 6th Street Lot,28462 Front St,Mercedes Street,Temecula,CA,Public,24 hours daily,,1,,12/31/2011
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,,Universal City,CA,Public,24 hours daily; pay lot; see valet for access,1,,,5/30/1998
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,,Van Nuys,CA,Public,24 hours daily,,4,,6/30/1998
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,Public,24 hours daily,,4,,6/15/1998
ELEC,City of Lancaster - City Hall,44933 Fern Ave,Located in the north side parking lot under the solar sun shade parking.,Lancaster,CA,Public,24 hours daily,,5,,6/30/1998
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,Public,24 hours daily; pay lot; see valet for access,,1,,7/1/1998
ELEC,Arden Fair Mall,1689 Arden Way,,Sacramento,CA,Public,24 hours daily,,4,,11/1/2019
ELEC,Japan Center Garage,1610 Geary Blvd,Garage Level 1,San Francisco,CA,Public,24 hours daily; pay lot,,,,1/31/2002
