,low,medium,high
2010,45000.0,59000.0,128500.0
2011,42000.0,58000.0,110000.0
2012,40000.0,57400.0,109000.0
2013,38000.0,56000.0,100000.0
2014,37000.0,55000.0,95000.0
2015,36614.0,55000.0,81015.0
2016,36108.0,53000.0,81015.0
2017,35603.0,52328.0,92035.0
2018,34430.0,51817.0,90233.0
2019,35598.0,47582.0,86539.0
2020,41020.0,43511.0,82443.0
2021,34491.0,42139.0,67215.0
2022,33348.0,40509.0,65438.0
2023,32319.0,39052.0,63845.0
2024,31389.0,37749.0,62415.0
2025,30548.0,36582.0,61129.0
2026,29784.0,35536.0,59972.0
2027,29089.0,34597.0,58929.0
2028,28455.0,33753.0,57989.0
2029,27876.0,32995.0,57140.0
2030,27252.0,32218.0,56280.0
2031,26645.0,31472.0,55432.0
2032,25770.95238095238,30161.14285714286,56238.07956581821
2033,24896.904761904763,28850.285714285717,57025.16716960932
2034,24022.857142857145,27539.428571428576,57793.71027913821
2035,23148.809523809527,26228.571428571435,58544.145819425416
