"","as.matrix.chargers_forecast.","year_list","county"
"1",2752.72302261498,2021,"Alameda"
"2",2665.40208132038,2022,"Alameda"
"3",2828.97391836232,2023,"Alameda"
"4",2992.54575540427,2024,"Alameda"
"5",3156.11759244621,2025,"Alameda"
"6",3319.68942948815,2026,"Alameda"
"7",3483.26126653009,2027,"Alameda"
"8",3646.83310357203,2028,"Alameda"
"9",3810.40494061398,2029,"Alameda"
"10",3973.97677765592,2030,"Alameda"
"11",4137.54861469786,2031,"Alameda"
"12",4301.1204517398,2032,"Alameda"
"13",4464.69228878174,2033,"Alameda"
"14",4628.26412582369,2034,"Alameda"
"15",4791.83596286563,2035,"Alameda"
"16",38.3238607098472,2015,"Amador"
"17",45.8953516003229,2016,"Amador"
"18",52.2239479566211,2017,"Amador"
"19",58.5525443129193,2018,"Amador"
"20",64.8811406692174,2019,"Amador"
"21",71.2097370255156,2020,"Amador"
"22",77.5383333818138,2021,"Amador"
"23",83.8669297381119,2022,"Amador"
"24",90.1955260944101,2023,"Amador"
"25",96.5241224507082,2024,"Amador"
"26",102.852718807006,2025,"Amador"
"27",109.181315163305,2026,"Amador"
"28",115.509911519603,2027,"Amador"
"29",121.838507875901,2028,"Amador"
"30",128.167104232199,2029,"Amador"
"31",134.495700588497,2030,"Amador"
"32",140.824296944795,2031,"Amador"
"33",147.152893301094,2032,"Amador"
"34",153.481489657392,2033,"Amador"
"35",159.81008601369,2034,"Amador"
"36",166.138682369988,2035,"Amador"
"37",62.5618966390259,2016,"Butte"
"38",72.8475987314316,2017,"Butte"
"39",82.4618795684031,2018,"Butte"
"40",92.0761604053746,2019,"Butte"
"41",101.690441242346,2020,"Butte"
"42",111.304722079318,2021,"Butte"
"43",120.919002916289,2022,"Butte"
"44",130.533283753261,2023,"Butte"
"45",140.147564590232,2024,"Butte"
"46",149.761845427204,2025,"Butte"
"47",159.376126264175,2026,"Butte"
"48",168.990407101147,2027,"Butte"
"49",178.604687938118,2028,"Butte"
"50",188.21896877509,2029,"Butte"
"51",197.833249612061,2030,"Butte"
"52",207.447530449033,2031,"Butte"
"53",217.061811286004,2032,"Butte"
"54",226.676092122976,2033,"Butte"
"55",236.290372959947,2034,"Butte"
"56",245.904653796919,2035,"Butte"
"57",1444.93374375867,2011,"City and County of San Francisco"
"58",1316.06288509564,2012,"City and County of San Francisco"
"59",1382.7984093078,2013,"City and County of San Francisco"
"60",1449.53393351997,2014,"City and County of San Francisco"
"61",1516.26945773214,2015,"City and County of San Francisco"
"62",1583.0049819443,2016,"City and County of San Francisco"
"63",1649.74050615647,2017,"City and County of San Francisco"
"64",1716.47603036864,2018,"City and County of San Francisco"
"65",1783.2115545808,2019,"City and County of San Francisco"
"66",1849.94707879297,2020,"City and County of San Francisco"
"67",1916.68260300514,2021,"City and County of San Francisco"
"68",1983.41812721731,2022,"City and County of San Francisco"
"69",2050.15365142947,2023,"City and County of San Francisco"
"70",2116.88917564164,2024,"City and County of San Francisco"
"71",2183.62469985381,2025,"City and County of San Francisco"
"72",2250.36022406597,2026,"City and County of San Francisco"
