"","as.matrix.chargers_forecast.","year_list","county"
"1",3720.73141503729,2021,"Alameda"
"2",4605.7556492348,2022,"Alameda"
"3",4972.42952056803,2023,"Alameda"
"4",5339.10339190125,2024,"Alameda"
"5",5705.77726323448,2025,"Alameda"
"6",6072.45113456771,2026,"Alameda"
"7",6439.12500590093,2027,"Alameda"
"8",6805.79887723416,2028,"Alameda"
"9",7172.47274856739,2029,"Alameda"
"10",7539.14661990061,2030,"Alameda"
"11",7905.82049123384,2031,"Alameda"
"12",8272.49436256706,2032,"Alameda"
"13",8639.16823390029,2033,"Alameda"
"14",9005.84210523352,2034,"Alameda"
"15",9372.51597656674,2035,"Alameda"
"16",37.7142985679392,2015,"Amador"
"17",44.8571698032477,2016,"Amador"
"18",51.2143182977731,2017,"Amador"
"19",57.5714667922986,2018,"Amador"
"20",63.928615286824,2019,"Amador"
"21",70.2857637813494,2020,"Amador"
"22",76.6429122758748,2021,"Amador"
"23",83.0000607704002,2022,"Amador"
"24",89.3572092649256,2023,"Amador"
"25",95.714357759451,2024,"Amador"
"26",102.071506253976,2025,"Amador"
"27",108.428654748502,2026,"Amador"
"28",114.785803243027,2027,"Amador"
"29",121.142951737553,2028,"Amador"
"30",127.500100232078,2029,"Amador"
"31",133.857248726603,2030,"Amador"
"32",140.214397221129,2031,"Amador"
"33",146.571545715654,2032,"Amador"
"34",152.92869421018,2033,"Amador"
"35",159.285842704705,2034,"Amador"
"36",165.642991199231,2035,"Amador"
"37",60.4285679462852,2016,"Butte"
"38",69.214274783516,2017,"Butte"
"39",78.9285575184821,2018,"Butte"
"40",88.6428402534482,2019,"Butte"
"41",98.3571229884143,2020,"Butte"
"42",108.07140572338,2021,"Butte"
"43",117.785688458347,2022,"Butte"
"44",127.499971193313,2023,"Butte"
"45",137.214253928279,2024,"Butte"
"46",146.928536663245,2025,"Butte"
"47",156.642819398211,2026,"Butte"
"48",166.357102133177,2027,"Butte"
"49",176.071384868143,2028,"Butte"
"50",185.785667603109,2029,"Butte"
"51",195.499950338075,2030,"Butte"
"52",205.214233073041,2031,"Butte"
"53",214.928515808008,2032,"Butte"
"54",224.642798542974,2033,"Butte"
"55",234.35708127794,2034,"Butte"
"56",244.071364012906,2035,"Butte"
"57",1535.77341744736,2011,"City and County of San Francisco"
"58",1883.92191079521,2012,"City and County of San Francisco"
"59",2004.52481602812,2013,"City and County of San Francisco"
"60",2125.12772126104,2014,"City and County of San Francisco"
"61",2245.73062649395,2015,"City and County of San Francisco"
"62",2366.33353172687,2016,"City and County of San Francisco"
"63",2486.93643695978,2017,"City and County of San Francisco"
"64",2607.5393421927,2018,"City and County of San Francisco"
"65",2728.14224742561,2019,"City and County of San Francisco"
"66",2848.74515265853,2020,"City and County of San Francisco"
"67",2969.34805789144,2021,"City and County of San Francisco"
"68",3089.95096312436,2022,"City and County of San Francisco"
"69",3210.55386835727,2023,"City and County of San Francisco"
"70",3331.15677359018,2024,"City and County of San Francisco"
"71",3451.7596788231,2025,"City and County of San Francisco"
"72",3572.36258405601,2026,"City and County of San Francisco"
"73",3692.96548928893,2027,"City and County of San Francisco"
"74",3813.56839452184,2028,"City and County of San Francisco"
"75",3934.17129975476,2029,"City and County of San Francisco"
"76",4054.77420498767,2030,"City and County of San Francisco"
"77",4175.37711022059,2031,"City and County of San Francisco"
"78",4295.9800154535,2032,"City and County of San Francisco"
"79",4416.58292068642,2033,"City and County of San Francisco"
"80",4537.18582591933,2034,"City and County of San Francisco"
"81",4657.78873115225,2035,"City and County of San Francisco"
"82",1041.40686942348,2019,"Contra Costa"
"83",1344.29572558526,2020,"Contra Costa"
"84",1469.68162098905,2021,"Contra Costa"
"85",1595.06751639284,2022,"Contra Costa"
"86",1720.45341179662,2023,"Contra Costa"
"87",1845.83930720041,2024,"Contra Costa"
"88",1971.2252026042,2025,"Contra Costa"
"89",2096.61109800799,2026,"Contra Costa"
"90",2221.99699341177,2027,"Contra Costa"
"91",2347.38288881556,2028,"Contra Costa"
"92",2472.76878421935,2029,"Contra Costa"
"93",2598.15467962314,2030,"Contra Costa"
"94",2723.54057502692,2031,"Contra Costa"
"95",2848.92647043071,2032,"Contra Costa"
"96",2974.3123658345,2033,"Contra Costa"
"97",3099.69826123829,2034,"Contra Costa"
"98",3225.08415664207,2035,"Contra Costa"
"99",162.811754814483,2013,"El Dorado"
"100",192.966882593566,2014,"El Dorado"
"101",209.887990076085,2015,"El Dorado"
"102",226.809097558605,2016,"El Dorado"
"103",243.730205041124,2017,"El Dorado"
"104",260.651312523643,2018,"El Dorado"
"105",277.572420006163,2019,"El Dorado"
"106",294.493527488682,2020,"El Dorado"
"107",311.414634971202,2021,"El Dorado"
"108",328.335742453721,2022,"El Dorado"
"109",345.256849936241,2023,"El Dorado"
