"","city","Open_Date","EV Level1 EVSE Num","EV Level2 EVSE Num","EV DC Fast Count","county"
"1","acampo",NA,NA,1,NA,"San Joaquin"
"2","acampo","9/1/2017",NA,2,NA,"San Joaquin"
"3","acampo","8/15/2016",NA,1,NA,"San Joaquin"
"4","acton","11/1/2018",NA,3,NA,"Los Angeles"
"5","agoura hills",NA,NA,2,NA,"Los Angeles"
"6","agoura hills",NA,NA,13,NA,"Los Angeles"
"7","agoura hills","8/16/2019",NA,8,NA,"Los Angeles"
"8","agoura hills","1/1/2014",NA,4,NA,"Los Angeles"
"9","agoura hills","4/1/2019",NA,4,NA,"Los Angeles"
"10","agoura hills","6/26/2020",NA,4,NA,"Los Angeles"
"11","agoura hills",NA,NA,NA,2,"Los Angeles"
"12","agoura hills","6/26/2020",NA,4,NA,"Los Angeles"
"13","ahwahnee","11/1/2018",NA,10,NA,"Madera"
"14","alameda",NA,NA,6,NA,"Alameda"
"15","alameda",NA,NA,2,NA,"Alameda"
"16","alameda","12/1/2018",NA,NA,12,"Alameda"
"17","alameda",NA,NA,NA,6,"Alameda"
"18","alameda",NA,NA,2,NA,"Alameda"
"19","alameda",NA,NA,4,NA,"Alameda"
"20","alameda",NA,NA,NA,2,"Alameda"
"21","alameda","12/10/2013",NA,2,NA,"Alameda"
"22","alameda",NA,NA,4,NA,"Alameda"
"23","alameda","8/3/2020",NA,3,NA,"Alameda"
"24","alameda",NA,NA,6,NA,"Alameda"
"25","alameda",NA,NA,2,NA,"Alameda"
"26","alameda",NA,NA,NA,2,"Alameda"
"27","alameda",NA,NA,1,NA,"Alameda"
"28","albany",NA,NA,2,NA,"Alameda"
"29","alhambra","11/1/2018",NA,4,NA,"Los Angeles"
"30","alhambra","8/1/2014",NA,2,NA,"Los Angeles"
"31","alhambra","8/1/2017",NA,24,NA,"Los Angeles"
"32","alhambra","2/28/2020",NA,NA,4,"Los Angeles"
"33","alhambra","8/1/2014",NA,2,NA,"Los Angeles"
"34","aliso viejo",NA,NA,4,NA,"Orange"
"35","aliso viejo",NA,NA,NA,2,"Orange"
"36","aliso viejo",NA,NA,2,NA,"Orange"
"37","aliso viejo",NA,NA,12,NA,"Orange"
"38","aliso viejo","11/3/2020",NA,1,NA,"Orange"
"39","aliso viejo",NA,NA,2,NA,"Orange"
"40","aliso viejo",NA,NA,8,NA,"Orange"
"41","aliso viejo",NA,NA,2,NA,"Orange"
"42","aliso viejo",NA,NA,2,NA,"Orange"
"43","aliso viejo",NA,NA,2,NA,"Orange"
"44","alpine","11/3/2020",NA,4,NA,"San Diego"
"45","alpine","8/15/2016",NA,4,NA,"San Diego"
"46","alturas","1/1/2016",NA,2,NA,"Modoc"
"47","american canyon",NA,NA,NA,2,"Napa"
"48","anaheim",NA,NA,1,NA,"Orange"
"49","anaheim",NA,NA,10,NA,"Orange"
"50","anaheim",NA,NA,10,NA,"Orange"
"51","anaheim",NA,NA,2,NA,"Orange"
"52","anaheim",NA,NA,2,NA,"Orange"
"53","anaheim",NA,NA,2,NA,"Orange"
"54","anaheim",NA,NA,13,NA,"Orange"
"55","anaheim",NA,NA,3,NA,"Orange"
"56","anaheim","10/1/2014",NA,5,NA,"Orange"
"57","anaheim",NA,NA,1,NA,"Orange"
"58","anaheim",NA,NA,4,NA,"Orange"
"59","anaheim","11/1/2018",NA,5,NA,"Orange"
"60","anaheim",NA,NA,NA,4,"Orange"
"61","anaheim",NA,NA,3,NA,"Orange"
"62","anaheim","9/1/2013",1,NA,NA,"Orange"
"63","anaheim","11/1/2018",NA,4,NA,"Orange"
"64","anaheim",NA,NA,2,NA,"Orange"
"65","anaheim","11/3/2020",NA,10,NA,"Orange"
"66","anaheim","1/31/2020",NA,NA,16,"Orange"
"67","anaheim",NA,NA,2,NA,"Orange"
"68","anaheim",NA,NA,16,NA,"Orange"
"69","anaheim","11/1/2018",NA,4,NA,"Orange"
"70","anaheim",NA,NA,2,NA,"Orange"
"71","anaheim","4/1/2019",NA,8,NA,"Orange"
"72","anaheim",NA,NA,1,NA,"Orange"
"73","anaheim","11/1/2018",NA,4,NA,"Orange"
"74","anaheim",NA,NA,1,NA,"Orange"
"75","anaheim",NA,NA,2,NA,"Orange"
"76","anaheim","11/1/2018",NA,3,NA,"Orange"
"77","anaheim","12/5/2014",NA,2,NA,"Orange"
"78","anaheim","11/3/2020",NA,2,NA,"Orange"
"79","anaheim",NA,NA,2,NA,"Orange"
"80","anaheim",NA,NA,10,NA,"Orange"
"81","anaheim",NA,NA,3,NA,"Orange"
"82","anaheim",NA,NA,1,NA,"Orange"
"83","anaheim","7/19/2019",NA,4,NA,"Orange"
"84","anaheim",NA,NA,4,NA,"Orange"
"85","anaheim",NA,NA,4,NA,"Orange"
"86","anaheim","9/30/2019",NA,NA,14,"Orange"
"87","anaheim",NA,NA,10,NA,"Orange"
"88","anaheim","2/1/2019",NA,2,NA,"Orange"
"89","anaheim","6/1/2016",NA,4,NA,"Orange"
"90","anaheim","11/1/2018",NA,3,NA,"Orange"
"91","anaheim",NA,NA,1,2,"Orange"
"92","anaheim",NA,NA,6,NA,"Orange"
"93","anaheim",NA,NA,2,NA,"Orange"
"94","anaheim","11/1/2018",NA,2,NA,"Orange"
"95","anaheim","3/1/2016",NA,2,NA,"Orange"
"96","anaheim",NA,NA,3,NA,"Orange"
"97","anaheim",NA,NA,32,NA,"Orange"
"98","anaheim",NA,NA,3,NA,"Orange"
"99","anaheim",NA,NA,2,NA,"Orange"
"100","anaheim",NA,NA,2,NA,"Orange"
"101","anaheim",NA,NA,5,NA,"Orange"
"102","anaheim",NA,NA,50,NA,"Orange"
"103","anaheim","11/20/2019",NA,1,NA,"Orange"
"104","anaheim",NA,NA,1,NA,"Orange"
"105","anaheim",NA,NA,2,NA,"Orange"
"106","anaheim",NA,NA,2,NA,"Orange"
"107","anaheim",NA,NA,NA,10,"Orange"
"108","anaheim",NA,NA,NA,4,"Orange"
"109","anaheim",NA,NA,NA,4,"Orange"
"110","anaheim",NA,NA,22,NA,"Orange"
"111","anaheim","11/1/2018",NA,4,NA,"Orange"
"112","anaheim","4/1/2019",NA,1,NA,"Orange"
"113","anaheim",NA,NA,2,NA,"Orange"
"114","anaheim",NA,NA,4,NA,"Orange"
"115","anaheim",NA,NA,24,NA,"Orange"
"116","anaheim",NA,NA,NA,4,"Orange"
"117","anaheim",NA,NA,14,NA,"Orange"
"118","anaheim",NA,NA,1,NA,"Orange"
"119","anaheim",NA,NA,4,NA,"Orange"
"120","anaheim",NA,NA,3,NA,"Orange"
"121","anaheim",NA,NA,8,NA,"Orange"
"122","anaheim",NA,NA,6,NA,"Orange"
"123","anaheim",NA,NA,6,NA,"Orange"
"124","anaheim","4/1/2019",NA,1,NA,"Orange"
"125","anderson",NA,NA,2,2,"Shasta"
"126","anderson",NA,NA,NA,4,"Shasta"
"127","angwin","5/1/2015",NA,2,NA,"Napa"
"128","antelope","8/1/2019",NA,1,NA,"Sacramento"
"129","antioch","3/15/2011",NA,1,NA,"Contra Costa"
"130","antioch",NA,NA,NA,2,"Contra Costa"
"131","antioch","7/22/2020",NA,3,NA,"Contra Costa"
"132","antioch","10/10/2017",NA,2,NA,"Contra Costa"
"133","antioch","7/20/2020",NA,3,NA,"Contra Costa"
"134","antioch",NA,NA,4,NA,"Contra Costa"
"135","antioch",NA,NA,2,NA,"Contra Costa"
"136","antioch","9/30/2019",NA,NA,10,"Contra Costa"
"137","antioch",NA,NA,2,NA,"Contra Costa"
"138","antioch",NA,NA,2,NA,"Contra Costa"
"139","antioch","3/15/2011",NA,1,NA,"Contra Costa"
"140","anza",NA,NA,2,4,"Riverside"
"141","anza",NA,NA,2,NA,"Riverside"
"142","apple valley",NA,NA,4,NA,"San Bernardino"
"143","aptos",NA,NA,8,NA,"Santa Cruz"
"144","aptos","6/1/2015",NA,4,NA,"Santa Cruz"
"145","aptos",NA,NA,2,NA,"Santa Cruz"
"146","aptos",NA,NA,4,NA,"Santa Cruz"
"147","arbuckle","8/21/2019",NA,2,NA,"Colusa"
"148","arcadia",NA,NA,3,NA,"Los Angeles"
"149","arcadia","4/20/2019",NA,4,NA,"Los Angeles"
"150","arcadia","4/2/2019",NA,4,NA,"Los Angeles"
"151","arcadia",NA,NA,2,NA,"Los Angeles"
"152","arcadia","8/15/2016",NA,3,NA,"Los Angeles"
"153","arcadia","8/22/2019",NA,4,NA,"Los Angeles"
"154","arcadia",NA,NA,1,3,"Los Angeles"
"155","arcadia",NA,NA,2,NA,"Los Angeles"
"156","arcadia",NA,NA,1,NA,"Los Angeles"
"157","arcadia","2/1/2016",NA,3,NA,"Los Angeles"
"158","arcadia","6/1/2014",NA,3,NA,"Los Angeles"
"159","arcadia",NA,NA,2,NA,"Los Angeles"
"160","arcadia",NA,NA,4,NA,"Los Angeles"
"161","arcata","3/14/2014",NA,2,NA,"Humboldt"
"162","arcata",NA,NA,2,NA,"Humboldt"
"163","arroyo grande","9/30/2019",NA,3,NA,"San Luis Obispo"
"164","arroyo grande","3/1/2017",NA,1,NA,"San Luis Obispo"
"165","arroyo grande","5/1/2015",NA,1,NA,"San Luis Obispo"
"166","arroyo grande",NA,NA,4,NA,"San Luis Obispo"
"167","artesia","12/26/2018",NA,2,NA,"Los Angeles"
"168","arvin","7/6/2020",NA,5,NA,"Kern"
"169","arvin",NA,NA,16,NA,"Kern"
"170","arvin","7/17/2019",NA,10,NA,"Kern"
"171","atascadero","6/1/2013",NA,NA,8,"San Luis Obispo"
"172","atascadero","11/3/2020",NA,1,NA,"San Luis Obispo"
"173","atascadero","6/1/2013",NA,1,NA,"San Luis Obispo"
"174","atherton","11/15/2017",NA,2,NA,"San Mateo"
"175","atherton",NA,NA,2,NA,"San Mateo"
"176","atherton",NA,NA,14,NA,"San Mateo"
"177","atwater",NA,NA,5,NA,"Merced"
"178","atwater",NA,NA,1,2,"Merced"
"179","atwater",NA,NA,9,NA,"Merced"
"180","auburn","3/28/2013",NA,5,NA,"Placer"
"181","auburn",NA,NA,NA,2,"Placer"
"182","auburn","3/15/2011",NA,12,NA,"Placer"
"183","auburn","3/15/2013",NA,2,NA,"Placer"
"184","auburn",NA,NA,2,4,"Placer"
"185","auburn",NA,NA,2,4,"Placer"
"186","auburn","12/1/2014",NA,1,NA,"Placer"
"187","auburn","11/30/2008",NA,3,NA,"Placer"
"188","auburn","12/1/2014",NA,1,NA,"Placer"
"189","avila beach","4/1/2015",NA,2,NA,"San Luis Obispo"
"190","avila beach","9/1/2017",NA,3,NA,"San Luis Obispo"
"191","azusa",NA,NA,10,NA,"Los Angeles"
"192","azusa","5/1/2019",NA,4,NA,"Los Angeles"
"193","azusa","2/1/2016",NA,3,NA,"Los Angeles"
"194","azusa","8/15/2019",NA,4,NA,"Los Angeles"
"195","azusa",NA,NA,NA,1,"Los Angeles"
"196","azusa",NA,NA,NA,2,"Los Angeles"
"197","azusa",NA,NA,2,NA,"Los Angeles"
"198","azusa","5/9/2017",NA,2,NA,"Los Angeles"
"199","azusa",NA,NA,NA,2,"Los Angeles"
"200","baker",NA,NA,2,8,"San Bernardino"
"201","baker","7/23/2018",NA,NA,40,"San Bernardino"
"202","baker",NA,NA,NA,6,"San Bernardino"
"203","baker",NA,NA,NA,8,"San Bernardino"
"204","bakersfield","8/19/2016",NA,2,NA,"Kern"
"205","bakersfield",NA,NA,4,NA,"Kern"
"206","bakersfield","9/1/2014",NA,3,NA,"Kern"
"207","bakersfield",NA,NA,2,NA,"Kern"
"208","bakersfield",NA,NA,2,NA,"Kern"
"209","bakersfield",NA,NA,2,NA,"Kern"
"210","bakersfield",NA,NA,2,NA,"Kern"
"211","bakersfield","3/15/2011",NA,1,NA,"Kern"
"212","bakersfield",NA,NA,NA,4,"Kern"
"213","bakersfield",NA,NA,2,NA,"Kern"
"214","bakersfield","3/1/2016",NA,10,NA,"Kern"
"215","bakersfield",NA,NA,NA,1,"Kern"
"216","bakersfield",NA,NA,2,NA,"Kern"
"217","bakersfield",NA,NA,NA,2,"Kern"
"218","bakersfield","3/15/2011",NA,1,1,"Kern"
"219","bakersfield",NA,NA,4,NA,"Kern"
"220","bakersfield","10/18/2018",4,NA,NA,"Kern"
"221","bakersfield",NA,NA,NA,2,"Kern"
"222","bakersfield","11/3/2020",NA,3,NA,"Kern"
"223","bakersfield","5/1/2015",NA,1,NA,"Kern"
"224","bakersfield",NA,NA,14,NA,"Kern"
"225","bakersfield","11/1/2013",NA,1,NA,"Kern"
"226","bakersfield","12/11/2020",NA,1,NA,"Kern"
"227","bakersfield",NA,NA,NA,4,"Kern"
"228","bakersfield","10/1/2016",NA,NA,10,"Kern"
"229","bakersfield","7/26/2017",NA,1,NA,"Kern"
"230","baldwin park",NA,NA,10,NA,"Los Angeles"
"231","baldwin park","7/1/2015",NA,3,NA,"Los Angeles"
"232","baldwin park",NA,NA,1,2,"Los Angeles"
"233","baldwin park","4/30/2017",NA,20,NA,"Los Angeles"
"234","banning",NA,NA,2,NA,"Riverside"
"235","banning","4/1/2014",NA,2,NA,"Riverside"
"236","banning",NA,NA,NA,1,"Riverside"
"237","banning",NA,NA,1,NA,"Riverside"
"238","barstow",NA,NA,2,NA,"San Bernardino"
"239","barstow",NA,NA,4,NA,"San Bernardino"
"240","barstow","8/16/2016",NA,2,NA,"San Bernardino"
"241","barstow",NA,NA,NA,8,"San Bernardino"
"242","barstow",NA,NA,2,4,"San Bernardino"
"243","barstow","6/1/2013",NA,NA,16,"San Bernardino"
"244","barstow",NA,NA,4,6,"San Bernardino"
"245","beaumont",NA,NA,2,4,"Riverside"
"246","beaumont",NA,NA,NA,6,"Riverside"
"247","beaumont","7/2/2020",NA,NA,17,"Riverside"
"248","bellflower",NA,NA,NA,2,"Los Angeles"
"249","bellflower",NA,NA,6,NA,"Los Angeles"
"250","bellflower",NA,NA,18,NA,"Los Angeles"
"251","belmont","1/31/2020",NA,50,NA,"San Mateo"
"252","belmont",NA,NA,1,3,"San Mateo"
"253","belmont",NA,NA,2,NA,"San Mateo"
"254","belmont",NA,NA,4,NA,"San Mateo"
"255","belmont","7/24/2019",NA,8,NA,"San Mateo"
"256","belvedere tiburon",NA,NA,6,NA,"Marin"
"257","belvedere tiburon",NA,NA,2,NA,"Marin"
"258","belvedere tiburon",NA,NA,6,NA,"Marin"
"259","benicia",NA,NA,2,NA,"Solano"
"260","benicia",NA,NA,2,NA,"Solano"
"261","benicia",NA,NA,4,NA,"Solano"
"262","berkeley",NA,NA,1,1,"Alameda"
"263","berkeley",NA,NA,6,NA,"Alameda"
"264","berkeley",NA,NA,2,NA,"Alameda"
"265","berkeley",NA,NA,50,NA,"Alameda"
"266","berkeley",NA,NA,2,NA,"Alameda"
"267","berkeley",NA,NA,1,2,"Alameda"
"268","berkeley",NA,NA,3,NA,"Alameda"
"269","berkeley","10/15/2017",NA,1,NA,"Alameda"
"270","berkeley","6/30/2014",14,13,NA,"Alameda"
"271","berkeley",NA,NA,4,NA,"Alameda"
"272","berkeley","11/1/2018",NA,3,NA,"Alameda"
"273","berkeley","8/15/2016",NA,1,NA,"Alameda"
"274","berkeley","9/19/2016",NA,4,NA,"Alameda"
"275","berkeley",NA,NA,1,NA,"Alameda"
"276","berkeley",NA,NA,2,NA,"Alameda"
"277","berkeley",NA,NA,2,NA,"Alameda"
"278","berkeley",NA,NA,6,NA,"Alameda"
"279","berkeley",NA,NA,2,NA,"Alameda"
"280","berkeley",NA,NA,2,NA,"Alameda"
"281","berkeley",NA,NA,3,NA,"Alameda"
"282","berkeley",NA,NA,10,NA,"Alameda"
"283","berkeley",NA,NA,8,NA,"Alameda"
"284","berkeley",NA,NA,6,NA,"Alameda"
"285","berkeley",NA,NA,10,NA,"Alameda"
"286","berkeley",NA,NA,2,NA,"Alameda"
"287","beverly hills","3/1/2017",NA,6,NA,"Los Angeles"
"288","beverly hills","3/1/2016",NA,4,NA,"Los Angeles"
"289","beverly hills",NA,NA,4,NA,"Los Angeles"
"290","beverly hills",NA,NA,4,NA,"Los Angeles"
"291","beverly hills",NA,NA,6,NA,"Los Angeles"
"292","beverly hills","5/1/2015",NA,9,NA,"Los Angeles"
"293","beverly hills",NA,NA,4,NA,"Los Angeles"
"294","beverly hills",NA,NA,2,NA,"Los Angeles"
"295","beverly hills",NA,NA,2,NA,"Los Angeles"
"296","beverly hills",NA,NA,2,NA,"Los Angeles"
"297","beverly hills","8/30/2018",NA,4,NA,"Los Angeles"
"298","beverly hills","11/3/2020",NA,2,NA,"Los Angeles"
"299","beverly hills","6/1/2015",NA,4,NA,"Los Angeles"
"300","beverly hills",NA,NA,4,NA,"Los Angeles"
"301","beverly hills","1/1/2016",NA,6,NA,"Los Angeles"
"302","beverly hills",NA,NA,4,NA,"Los Angeles"
"303","beverly hills",NA,NA,4,NA,"Los Angeles"
"304","beverly hills","9/1/2017",NA,2,NA,"Los Angeles"
"305","beverly hills","11/3/2020",NA,4,NA,"Los Angeles"
"306","beverly hills",NA,NA,2,NA,"Los Angeles"
"307","beverly hills","5/1/2015",NA,2,NA,"Los Angeles"
"308","beverly hills",NA,NA,4,NA,"Los Angeles"
"309","beverly hills",NA,NA,3,NA,"Los Angeles"
"310","beverly hills",NA,NA,4,NA,"Los Angeles"
"311","beverly hills","11/20/2017",NA,2,NA,"Los Angeles"
"312","beverly hills",NA,NA,3,NA,"Los Angeles"
"313","beverly hills",NA,NA,1,NA,"Los Angeles"
"314","beverly hills",NA,NA,6,NA,"Los Angeles"
"315","beverly hills",NA,NA,6,NA,"Los Angeles"
"316","beverly hills",NA,NA,4,NA,"Los Angeles"
"317","beverly hills",NA,NA,2,NA,"Los Angeles"
"318","beverly hills",NA,NA,4,NA,"Los Angeles"
"319","beverly hills",NA,NA,NA,2,"Los Angeles"
"320","beverly hills",NA,NA,6,NA,"Los Angeles"
"321","beverly hills",NA,NA,2,NA,"Los Angeles"
"322","beverly hills","11/3/2020",NA,4,NA,"Los Angeles"
"323","beverly hills",NA,NA,1,NA,"Los Angeles"
"324","big sur","8/1/2015",NA,3,NA,"Monterey"
"325","big sur","11/3/2020",NA,3,NA,"Monterey"
"326","big sur","9/30/2019",NA,NA,8,"Monterey"
"327","big sur","7/1/2015",NA,3,NA,"Monterey"
"328","big sur","3/1/2017",NA,3,NA,"Monterey"
"329","bishop","11/16/2020",NA,NA,12,"Inyo"
"330","bishop",NA,NA,NA,4,"Inyo"
