"","county","year","total_chargers","csum"
"1","Alameda",2011,34,34
"2","Alameda",2012,12,46
"3","Alameda",2013,17,63
"4","Alameda",2014,27,90
"5","Alameda",2015,31,121
"6","Alameda",2016,63,184
"7","Alameda",2017,9,193
"8","Alameda",2018,146,339
"9","Alameda",2019,97,436
"10","Alameda",2020,228,664
"11","Alameda",NA,1322,1986
"12","Alpine",2017,8,8
"13","Alpine",NA,2,10
"14","Amador",2010,2,2
"15","Amador",2014,3,5
"16","Amador",2016,4,9
"17","Amador",2017,10,19
"18","Amador",2020,10,29
"19","Amador",NA,4,33
"20","Butte",2011,4,4
"21","Butte",2014,10,14
"22","Butte",2016,2,16
"23","Butte",2017,5,21
"24","Butte",2019,20,41
"25","Butte",NA,14,55
"26","Calaveras",2015,5,5
"27","Calaveras",2016,2,7
"28","City and County of San Francisco",1998,1,1
"29","City and County of San Francisco",2002,2,3
"30","City and County of San Francisco",2009,3,6
"31","City and County of San Francisco",2011,7,13
"32","City and County of San Francisco",2012,22,35
"33","City and County of San Francisco",2013,9,44
"34","City and County of San Francisco",2014,6,50
"35","City and County of San Francisco",2015,11,61
"36","City and County of San Francisco",2016,22,83
"37","City and County of San Francisco",2017,18,101
"38","City and County of San Francisco",2018,61,162
"39","City and County of San Francisco",2019,94,256
"40","City and County of San Francisco",2020,106,362
"41","City and County of San Francisco",NA,770,1132
"42","Colusa",2019,22,22
"43","Colusa",NA,4,26
"44","Contra Costa",2011,6,6
"45","Contra Costa",2014,4,10
"46","Contra Costa",2015,5,15
"47","Contra Costa",2016,5,20
"48","Contra Costa",2017,17,37
"49","Contra Costa",2018,42,79
"50","Contra Costa",2019,215,294
"51","Contra Costa",2020,124,418
"52","Contra Costa",NA,446,864
"53","Del Norte",2016,6,6
"54","Del Norte",2018,6,12
"55","Del Norte",NA,20,32
"56","El Dorado",2004,5,5
"57","El Dorado",2012,2,7
"58","El Dorado",2014,1,8
"59","El Dorado",2015,30,38
"60","El Dorado",2016,6,44
"61","El Dorado",2017,4,48
"62","El Dorado",2018,13,61
"63","El Dorado",2019,33,94
"64","El Dorado",2020,5,99
"65","El Dorado",NA,61,160
"66","Fresno",2011,4,4
"67","Fresno",2012,7,11
"68","Fresno",2013,18,29
"69","Fresno",2014,2,31
"70","Fresno",2015,23,54
"71","Fresno",2016,38,92
"72","Fresno",2017,43,135
"73","Fresno",2018,11,146
"74","Fresno",2019,110,256
"75","Fresno",2020,186,442
"76","Fresno",NA,222,664
"77","Glenn",NA,14,14
"78","Humboldt",2011,4,4
"79","Humboldt",2012,1,5
"80","Humboldt",2013,6,11
"81","Humboldt",2014,4,15
"82","Humboldt",2015,3,18
"83","Humboldt",2016,17,35
"84","Humboldt",2018,10,45
"85","Humboldt",NA,56,101
"86","Imperial",2011,3,3
"87","Imperial",2015,10,13
"88","Imperial",2019,38,51
"89","Imperial",2020,8,59
"90","Imperial",NA,44,103
