,county,year,num_ev
0,Fresno,2010,2
1,Fresno,2011,17
2,Fresno,2012,20
3,Fresno,2013,85
4,Fresno,2014,444
5,Fresno,2015,442
6,Fresno,2016,623
7,Fresno,2017,827
8,Fresno,2018,686
9,Fresno,2019,765
10,Fresno,2020,846
11,Modoc,2010,0
12,Modoc,2011,0
13,Modoc,2012,0
14,Modoc,2013,0
15,Modoc,2014,0
16,Modoc,2015,0
17,Modoc,2016,0
18,Modoc,2017,0
19,Modoc,2018,0
20,Modoc,2019,0
21,Modoc,2020,0
22,Mariposa,2010,0
23,Mariposa,2011,2
24,Mariposa,2012,0
25,Mariposa,2013,2
26,Mariposa,2014,3
27,Mariposa,2015,3
28,Mariposa,2016,6
29,Mariposa,2017,1
30,Mariposa,2018,13
31,Mariposa,2019,10
32,Mariposa,2020,9
33,Placer,2010,3
34,Placer,2011,32
35,Placer,2012,42
36,Placer,2013,169
37,Placer,2014,234
38,Placer,2015,286
39,Placer,2016,239
40,Placer,2017,291
41,Placer,2018,737
42,Placer,2019,851
43,Placer,2020,1171
44,Butte,2010,0
45,Butte,2011,8
46,Butte,2012,7
47,Butte,2013,21
48,Butte,2014,26
49,Butte,2015,25
50,Butte,2016,21
51,Butte,2017,38
52,Butte,2018,95
53,Butte,2019,91
54,Butte,2020,139
55,Sutter,2010,0
56,Sutter,2011,0
57,Sutter,2012,0
58,Sutter,2013,2
59,Sutter,2014,6
60,Sutter,2015,12
61,Sutter,2016,6
62,Sutter,2017,14
63,Sutter,2018,33
64,Sutter,2019,49
65,Sutter,2020,64
66,Contra Costa,2010,9
67,Contra Costa,2011,173
68,Contra Costa,2012,197
69,Contra Costa,2013,740
70,Contra Costa,2014,1162
71,Contra Costa,2015,1595
72,Contra Costa,2016,1437
73,Contra Costa,2017,1829
74,Contra Costa,2018,4150
75,Contra Costa,2019,3887
76,Contra Costa,2020,4235
77,Ventura,2010,25
78,Ventura,2011,104
79,Ventura,2012,94
80,Ventura,2013,394
81,Ventura,2014,471
82,Ventura,2015,575
83,Ventura,2016,553
84,Ventura,2017,763
85,Ventura,2018,1733
86,Ventura,2019,1866
87,Ventura,2020,2245
88,Santa Clara,2010,83
89,Santa Clara,2011,838
90,Santa Clara,2012,870
91,Santa Clara,2013,3740
92,Santa Clara,2014,5281
93,Santa Clara,2015,6584
94,Santa Clara,2016,6477
95,Santa Clara,2017,7364
96,Santa Clara,2018,15434
97,Santa Clara,2019,14113
98,Santa Clara,2020,11961
99,Madera,2010,0
100,Madera,2011,8
101,Madera,2012,4
102,Madera,2013,7
103,Madera,2014,34
104,Madera,2015,41
105,Madera,2016,31
106,Madera,2017,59
107,Madera,2018,40
108,Madera,2019,56
109,Madera,2020,82
110,Plumas,2010,0
111,Plumas,2011,0
112,Plumas,2012,0
113,Plumas,2013,2
114,Plumas,2014,2
115,Plumas,2015,0
116,Plumas,2016,2
117,Plumas,2017,1
118,Plumas,2018,2
119,Plumas,2019,4
120,Plumas,2020,13
121,Amador,2010,1
122,Amador,2011,4
123,Amador,2012,1
124,Amador,2013,3
125,Amador,2014,6
126,Amador,2015,8
127,Amador,2016,5
128,Amador,2017,7
129,Amador,2018,24
130,Amador,2019,17
131,Amador,2020,28
132,Yuba,2010,0
133,Yuba,2011,2
134,Yuba,2012,4
135,Yuba,2013,2
136,Yuba,2014,3
137,Yuba,2015,9
138,Yuba,2016,5
139,Yuba,2017,4
140,Yuba,2018,19
141,Yuba,2019,35
142,Yuba,2020,49
143,Santa Cruz,2010,6
144,Santa Cruz,2011,55
145,Santa Cruz,2012,49
146,Santa Cruz,2013,262
147,Santa Cruz,2014,262
148,Santa Cruz,2015,332
149,Santa Cruz,2016,287
150,Santa Cruz,2017,354
151,Santa Cruz,2018,752
